Date,Confirmed,Active,Deaths,Recovered
2020-02-26,,,0,0
2020-02-27,,,0,0
2020-02-28,,,0,0
2020-02-29,,,0,0
2020-03-01,,,0,0
2020-03-02,,,0,0
2020-03-03,,,0,0
2020-03-04,,,0,0
2020-03-05,,,0,0
2020-03-06,,,0,0
2020-03-07,,,0,0
2020-03-08,,,0,0
2020-03-09,,,0,0
2020-03-10,14,13,0,1
2020-03-11,14,12,0,2
2020-03-12,15,13,0,2
2020-03-13,16,13,0,3
2020-03-14,18,15,0,3
2020-03-15,34,31,0,3
2020-03-16,150,147,0,3
2020-03-17,172,169,0,3
2020-03-18,208,205,0,3
2020-03-19,238,235,0,3
2020-03-20,259,255,1,3
2020-03-21,292,288,1,3
2020-03-22,352,347,1,4
2020-03-23,399,394,1,4
2020-03-24,413,398,1,14
2020-03-25,417,402,1,14
2020-03-26,429,414,1,14
